qpid	goid	ontology	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
gene-OO714_RS03020	0008652	BP	amino_acid_biosynthetic_process	0.864825338309	0.439730171445	34	1
gene-OO714_RS07765	0004029	MF	aldehyde_dehydrogenase_(NAD+)_activity	11.5821194126	0.798852088796	1	44
gene-OO714_RS07765	0009447	BP	putrescine_catabolic_process	7.64498987199	0.706171826248	1	23
gene-OO714_RS07765	0030424	CC	axon	1.96210410863	0.508089083794	1	8
gene-OO714_RS07765	0005759	CC	mitochondrial_matrix	1.88413133724	0.504006839693	2	9
gene-OO714_RS07765	0033737	MF	1-pyrroline_dehydrogenase_activity	8.02673125661	0.71607318356	4	23
gene-OO714_RS07765	0005829	CC	cytosol	1.53540170397	0.484619247277	4	10
gene-OO714_RS07765	0019477	BP	L-lysine_catabolic_process	6.13599362245	0.664374017663	5	23
gene-OO714_RS07765	0045202	CC	synapse	1.51431246827	0.483379350629	5	8
gene-OO714_RS07765	0043878	MF	glyceraldehyde-3-phosphate_dehydrogenase_(NAD+)_(non-phosphorylating)_activity	5.89517519954	0.657245336856	7	20
gene-OO714_RS07765	0051287	MF	NAD_binding	5.23661056983	0.636970477334	8	35
gene-OO714_RS07765	0019115	MF	benzaldehyde_dehydrogenase_[NAD(P)+]_activity	4.08748484506	0.598258523105	11	10
gene-OO714_RS07765	0030392	BP	fructosamine_catabolic_process	4.27778335312	0.605014297937	12	9
gene-OO714_RS07765	0018547	MF	nitroglycerin_reductase_activity	3.77232810361	0.586714439881	12	8
gene-OO714_RS07765	0001758	MF	retinal_dehydrogenase_activity	3.35910019875	0.570820355956	14	8
gene-OO714_RS07765	0070062	CC	extracellular_exosome	0.619849002044	0.419016671155	14	2
gene-OO714_RS07765	0106435	MF	carboxylesterase_activity	2.51891362371	0.535148164856	16	8
gene-OO714_RS07765	0006068	BP	ethanol_catabolic_process	3.73439108987	0.585292795209	22	9
gene-OO714_RS07765	0004028	MF	3-chloroallyl_aldehyde_dehydrogenase_activity	1.8540296231	0.502408322296	22	4
gene-OO714_RS07765	1905627	BP	regulation_of_serotonin_biosynthetic_process	3.70840592173	0.584314860807	23	8
gene-OO714_RS07765	1903179	BP	regulation_of_dopamine_biosynthetic_process	3.50848625464	0.576673447318	25	8
gene-OO714_RS07765	0042802	MF	identical_protein_binding	1.43971872865	0.478922982253	25	7
gene-OO714_RS07765	0032991	CC	protein-containing_complex	0.151855306284	0.361282430989	26	2
gene-OO714_RS07765	0005634	CC	nucleus	0.0911568294553	0.348539058859	27	1
gene-OO714_RS07765	0009449	BP	gamma-aminobutyric_acid_biosynthetic_process	3.3876377375	0.571948389939	28	8
gene-OO714_RS07765	0036438	BP	maintenance_of_lens_transparency	3.28153917788	0.56773007765	29	8
gene-OO714_RS07765	0110095	BP	cellular_detoxification_of_aldehyde	3.05375936788	0.558437129533	34	11
gene-OO714_RS07765	0005497	MF	androgen_binding	0.437969880633	0.400792333264	35	1
gene-OO714_RS07765	0001523	BP	retinoid_metabolic_process	2.85420655386	0.550006646757	37	9
gene-OO714_RS07765	0005096	MF	GTPase_activator_activity	0.207603741994	0.37085827988	38	1
gene-OO714_RS07765	0009055	MF	electron_transfer_activity	0.110848856381	0.353042847176	45	1
gene-OO714_RS07765	0043168	MF	anion_binding	0.108702144347	0.352572451967	46	2
gene-OO714_RS07765	0120254	BP	olefinic_compound_metabolic_process	2.32805831901	0.526245811656	51	8
gene-OO714_RS07765	0042445	BP	hormone_metabolic_process	2.11371856309	0.515800954556	56	9
gene-OO714_RS07765	0046185	BP	aldehyde_catabolic_process	1.94211741573	0.50705053536	62	8
gene-OO714_RS07765	0045471	BP	response_to_ethanol	1.37167243936	0.4747559464	77	4
gene-OO714_RS07765	0006001	BP	fructose_catabolic_process	1.35355872644	0.473629372141	78	3
gene-OO714_RS07765	0120163	BP	negative_regulation_of_cold-induced_thermogenesis	1.07634258385	0.455340544838	82	3
gene-OO714_RS07765	0006117	BP	acetaldehyde_metabolic_process	0.884110839417	0.441227448492	91	2
gene-OO714_RS07765	0006915	BP	apoptotic_process	0.872791665843	0.440350660163	94	4
gene-OO714_RS07765	0042981	BP	regulation_of_apoptotic_process	0.840140968685	0.437789164279	102	4
gene-OO714_RS07765	0009410	BP	response_to_xenobiotic_stimulus	0.784758562597	0.433327742597	110	3
gene-OO714_RS07765	0007610	BP	behavior	0.769897364559	0.43210399104	111	3
gene-OO714_RS07765	0019607	BP	phenylethylamine_catabolic_process	0.739548725938	0.42956767144	114	1
gene-OO714_RS07765	0002072	BP	optic_cup_morphogenesis_involved_in_camera-type_eye_development	0.703437080597	0.426480918488	119	2
gene-OO714_RS07765	0014070	BP	response_to_organic_cyclic_compound	0.697845030298	0.425995897241	121	3
gene-OO714_RS07765	2000377	BP	regulation_of_reactive_oxygen_species_metabolic_process	0.624495792216	0.419444367039	128	2
gene-OO714_RS07765	0018960	BP	4-nitrophenol_metabolic_process	0.613847515753	0.418461908073	131	1
gene-OO714_RS07765	0001889	BP	liver_development	0.612938362102	0.41837763195	132	2
gene-OO714_RS07765	0016102	BP	diterpenoid_biosynthetic_process	0.602911014101	0.417443944524	136	2
gene-OO714_RS07765	0043068	BP	positive_regulation_of_programmed_cell_death	0.517227803592	0.409125736637	161	2
gene-OO714_RS07765	0043069	BP	negative_regulation_of_programmed_cell_death	0.477187177891	0.405002324793	171	2
gene-OO714_RS07765	0033993	BP	response_to_lipid	0.460223763229	0.403203380699	176	2
gene-OO714_RS07765	0044849	BP	estrous_cycle	0.432379675158	0.400177107133	179	1
gene-OO714_RS07765	0007494	BP	midgut_development	0.401970238274	0.396758430425	186	1
gene-OO714_RS07765	0055093	BP	response_to_hyperoxia	0.394042862573	0.395846154243	187	1
gene-OO714_RS07765	0035094	BP	response_to_nicotine	0.363304370189	0.392218915492	194	1
gene-OO714_RS07765	0002931	BP	response_to_ischemia	0.356612118844	0.391409097366	195	1
gene-OO714_RS07765	0006979	BP	response_to_oxidative_stress	0.355350305612	0.3912555585	196	2
gene-OO714_RS07765	0019336	BP	phenol-containing_compound_catabolic_process	0.341630323754	0.389568167065	201	1
gene-OO714_RS07765	1902222	BP	erythrose_4-phosphate/phosphoenolpyruvate_family_amino_acid_catabolic_process	0.325510573881	0.387541731329	208	1
gene-OO714_RS07765	0051289	BP	protein_homotetramerization	0.315802397484	0.386297025548	212	1
gene-OO714_RS07765	0050890	BP	cognition	0.310381128938	0.38559362	217	1
gene-OO714_RS07765	1902882	BP	regulation_of_response_to_oxidative_stress	0.307681752694	0.385241087026	220	1
gene-OO714_RS07765	0072330	BP	monocarboxylic_acid_biosynthetic_process	0.298816129575	0.384072239558	224	2
gene-OO714_RS07765	1901654	BP	response_to_ketone	0.298695037542	0.384056155554	225	1
gene-OO714_RS07765	0006558	BP	L-phenylalanine_metabolic_process	0.297954043468	0.383957662195	226	1
gene-OO714_RS07765	0002237	BP	response_to_molecule_of_bacterial_origin	0.290395372141	0.382945876867	231	1
gene-OO714_RS07765	0001822	BP	kidney_development	0.28885876313	0.382738585696	232	1
gene-OO714_RS07765	0009074	BP	aromatic_amino_acid_family_catabolic_process	0.278438627761	0.3813180966	235	1
gene-OO714_RS07765	0009435	BP	NAD_biosynthetic_process	0.250011994879	0.377301741635	239	1
gene-OO714_RS07765	0035556	BP	intracellular_signal_transduction	0.211108357424	0.371414360852	255	2
gene-OO714_RS07765	0007005	BP	mitochondrion_organization	0.206115843486	0.370620774971	257	1
gene-OO714_RS07765	0032870	BP	cellular_response_to_hormone_stimulus	0.205109841686	0.370459706482	258	1
gene-OO714_RS07765	0022900	BP	electron_transport_chain	0.10031997122	0.350689672384	300	1
gene-OO714_RS15000	0047884	MF	FAD_diphosphatase_activity	20.7796894794	0.882299562846	1	1
gene-OO714_RS15000	0009416	BP	response_to_light_stimulus	9.71046014828	0.757166595148	1	1
gene-OO714_RS15000	0009507	CC	chloroplast	5.89704802081	0.657301331967	1	1
gene-OO714_RS15000	0047631	MF	ADP-ribose_diphosphatase_activity	13.4221148265	0.836657689833	2	1
gene-OO714_RS15000	0042726	BP	flavin-containing_compound_metabolic_process	8.60579512522	0.730653428038	3	1
gene-OO714_RS15000	0046872	MF	metal_ion_binding	2.47991870027	0.533357440628	7	1
gene-OO714_RS02625	0004632	MF	phosphopantothenate--cysteine_ligase_activity	11.8157839679	0.80381185723	1	16
gene-OO714_RS02625	0015941	BP	pantothenate_catabolic_process	11.4702060891	0.796458898023	1	16
gene-OO714_RS02625	0071513	CC	phosphopantothenoylcysteine_decarboxylase_complex	7.31834141205	0.69750132984	1	6
gene-OO714_RS02625	0004633	MF	phosphopantothenoylcysteine_decarboxylase_activity	11.8018854498	0.803518226425	2	16
gene-OO714_RS02625	0010181	MF	FMN_binding	7.81694665379	0.710661819608	4	16
gene-OO714_RS02625	0005829	CC	cytosol	0.500714088244	0.40744519527	5	1
gene-OO714_RS02625	0015937	BP	coenzyme_A_biosynthetic_process	9.03837836534	0.741227768431	6	16
gene-OO714_RS02625	0005886	CC	plasma_membrane	0.122698814816	0.355561223154	7	1
gene-OO714_RS02625	0046872	MF	metal_ion_binding	2.36595454825	0.528041698702	15	15
gene-OO714_RS02625	0004782	MF	sulfinoalanine_decarboxylase_activity	1.04756778236	0.453313301754	21	1
gene-OO714_RS02625	0042802	MF	identical_protein_binding	0.671532751273	0.423687191985	23	1
gene-OO714_RS16255	0004325	MF	ferrochelatase_activity	10.9884737895	0.78602154787	1	100
gene-OO714_RS16255	0006783	BP	heme_biosynthetic_process	8.03697114653	0.716335499151	1	100
gene-OO714_RS16255	0005737	CC	cytoplasm	2.01987348842	0.511061511797	1	100
gene-OO714_RS16255	0046872	MF	metal_ion_binding	2.49263681173	0.533943018666	3	100
gene-OO714_RS16255	0009416	BP	response_to_light_stimulus	0.0888052956261	0.347969915645	27	1
gene-OO714_RS16255	0046501	BP	protoporphyrinogen_IX_metabolic_process	0.0814354086617	0.346135564172	29	1
gene-OO714_RS14285	0008883	MF	glutamyl-tRNA_reductase_activity	12.0747315872	0.809251334397	1	100
gene-OO714_RS14285	0006782	BP	protoporphyrinogen_IX_biosynthetic_process	8.95099056021	0.739112352518	1	100
gene-OO714_RS14285	0050661	MF	NADP_binding	7.30259354543	0.697078480325	3	100
gene-OO714_RS14285	0042802	MF	identical_protein_binding	0.0846208387973	0.346938188043	18	1
gene-OO714_RS14285	0033526	BP	tetrapyrrole_biosynthetic_process_from_glutamate	0.781810252281	0.433085890273	27	4
gene-OO714_RS12630	0042884	BP	microcin_transport	15.4345973082	0.853386112279	1	1
gene-OO714_RS12630	0055052	CC	ATP-binding_cassette_(ABC)_transporter_complex,_substrate-binding_subunit-containing	10.6337329548	0.778188560828	1	1
gene-OO714_RS12630	0035672	BP	oligopeptide_transmembrane_transport	7.91054494866	0.713085033485	4	1
gene-OO714_RS12630	0030420	BP	establishment_of_competence_for_transformation	3.2961087447	0.568313339019	8	1
gene-OO714_RS12630	0030435	BP	sporulation_resulting_in_formation_of_a_cellular_spore	2.88900618688	0.551497554685	11	1
gene-OO714_RS12630	0015031	BP	protein_transport	1.54292145455	0.485059293476	25	1
gene-OO714_RS15460	0006449	BP	regulation_of_translational_termination	11.6287803534	0.799846484732	1	100
gene-OO714_RS15460	0016149	MF	translation_release_factor_activity,_codon_specific	10.359625139	0.772046114983	1	100
gene-OO714_RS15460	0005737	CC	cytoplasm	2.01990567303	0.51106315587	1	100
gene-OO714_RS15460	0006415	BP	translational_termination	9.0634907239	0.741833775258	2	100
gene-OO714_RS15460	0097216	MF	guanosine_tetraphosphate_binding	8.74698189974	0.734133311786	4	78
gene-OO714_RS15460	0003924	MF	GTPase_activity	6.66360226891	0.679518613705	8	100
gene-OO714_RS15460	0005525	MF	GTP_binding	5.95920609731	0.659154765122	9	100
gene-OO714_RS15460	0016150	MF	translation_release_factor_activity,_codon_nonspecific	1.20372929996	0.464005596199	30	6
gene-OO714_RS16320	0015503	MF	glutathione-regulated_potassium_exporter_activity	15.4770499555	0.853633989204	1	31
gene-OO714_RS16320	0071805	BP	potassium_ion_transmembrane_transport	8.34764363753	0.724216036303	1	31
gene-OO714_RS16320	0005886	CC	plasma_membrane	2.68397661161	0.542578931942	1	31
gene-OO714_RS16320	0015297	MF	antiporter_activity	7.92141872645	0.71336561865	3	31
gene-OO714_RS16320	1902600	BP	proton_transmembrane_transport	5.04751731389	0.63091620044	4	31
gene-OO714_RS16320	0051595	BP	response_to_methylglyoxal	1.9884213042	0.50944854308	15	4
gene-OO714_RS16320	0015643	MF	toxic_substance_binding	1.66356244807	0.491977744634	15	4
gene-OO714_RS16320	0019899	MF	enzyme_binding	1.01889927094	0.451265664755	16	4
gene-OO714_RS15740	0008899	MF	homoserine_O-succinyltransferase_activity	11.8259627132	0.804026791712	1	88
gene-OO714_RS15740	0009086	BP	methionine_biosynthetic_process	8.12867198272	0.718677193283	1	100
gene-OO714_RS15740	0005737	CC	cytoplasm	2.01989318504	0.511062517953	1	100
gene-OO714_RS15740	0004414	MF	homoserine_O-acetyltransferase_activity	1.41602549652	0.477483454602	8	14
gene-OO714_RS15740	0009092	BP	homoserine_metabolic_process	0.26970041938	0.380106264526	31	3
gene-OO714_RS06535	0003755	MF	peptidyl-prolyl_cis-trans_isomerase_activity	8.31438377024	0.72337945448	1	40
gene-OO714_RS06535	0006457	BP	protein_folding	6.67128653617	0.679734666256	1	40
gene-OO714_RS06535	0042597	CC	periplasmic_space	2.04366002199	0.512273037724	1	7
gene-OO714_RS06535	0005788	CC	endoplasmic_reticulum_lumen	1.36222037484	0.474169013839	2	7
gene-OO714_RS06535	0016018	MF	cyclosporin_A_binding	3.27161982543	0.567332236491	5	12
gene-OO714_RS06535	0000413	BP	protein_peptidyl-prolyl_isomerization	2.35438939037	0.527495165326	5	7
gene-OO714_RS06535	0005515	MF	protein_binding	1.01542631273	0.451015664125	8	9
gene-OO714_RS06535	0034663	CC	endoplasmic_reticulum_chaperone_complex	0.882381526468	0.441093859898	8	3
gene-OO714_RS06535	0005757	CC	mitochondrial_permeability_transition_pore_complex	0.881091350019	0.440994109103	9	3
gene-OO714_RS06535	0042470	CC	melanosome	0.851782511291	0.438708077207	10	4
gene-OO714_RS06535	0005518	MF	collagen_binding	0.51613285326	0.409015145547	11	2
gene-OO714_RS06535	0004519	MF	endonuclease_activity	0.357612406126	0.391530620537	13	1
gene-OO714_RS06535	0000287	MF	magnesium_ion_binding	0.345247862016	0.390016320155	14	1
gene-OO714_RS06535	0010849	BP	regulation_of_proton-transporting_ATPase_activity,_rotational_mechanism	1.18620345209	0.462841629019	15	3
gene-OO714_RS06535	0005829	CC	cytosol	0.760018542235	0.43128396947	15	4
gene-OO714_RS06535	2000276	BP	negative_regulation_of_oxidative_phosphorylation_uncoupler_activity	1.18620345209	0.462841629019	16	3
gene-OO714_RS06535	0005790	CC	smooth_endoplasmic_reticulum	0.598874211355	0.417065870944	17	2
gene-OO714_RS06535	0048471	CC	perinuclear_region_of_cytoplasm	0.55357279197	0.412732390125	18	3
gene-OO714_RS06535	0005576	CC	extracellular_region	0.538118672445	0.411213743225	19	3
gene-OO714_RS06535	0032780	BP	negative_regulation_of_ATP-dependent_activity	0.984290232735	0.448754956001	20	3
gene-OO714_RS06535	0005753	CC	mitochondrial_proton-transporting_ATP_synthase_complex	0.53336879043	0.410742611923	20	3
gene-OO714_RS06535	1902445	BP	regulation_of_mitochondrial_membrane_permeability_involved_in_programmed_necrotic_cell_death	0.944932868017	0.445845518716	21	3
gene-OO714_RS06535	0044829	BP	positive_regulation_by_host_of_viral_genome_replication	0.929859114434	0.444715202403	22	3
gene-OO714_RS06535	0005634	CC	nucleus	0.520710592221	0.40947672568	22	7
gene-OO714_RS06535	0090324	BP	negative_regulation_of_oxidative_phosphorylation	0.90965108229	0.44318541495	24	3
gene-OO714_RS06535	0005759	CC	mitochondrial_matrix	0.460000092275	0.403179441232	29	3
gene-OO714_RS06535	1902686	BP	mitochondrial_outer_membrane_permeabilization_involved_in_programmed_cell_death	0.834072171905	0.437307605224	32	3
gene-OO714_RS06535	0090201	BP	negative_regulation_of_release_of_cytochrome_c_from_mitochondria	0.831528380482	0.437105234439	33	3
gene-OO714_RS06535	0071243	BP	cellular_response_to_arsenic-containing_substance	0.826038770228	0.436667452178	36	3
gene-OO714_RS06535	0040018	BP	positive_regulation_of_multicellular_organism_growth	0.819764053465	0.436165274235	38	3
gene-OO714_RS06535	0030593	BP	neutrophil_chemotaxis	0.812292179436	0.435564771848	41	3
gene-OO714_RS06535	0030313	CC	cell_envelope	0.268491215496	0.379937032344	43	1
gene-OO714_RS06535	0070266	BP	necroptotic_process	0.794169537236	0.434096708306	46	3
gene-OO714_RS06535	0002931	BP	response_to_ischemia	0.784772485223	0.433328883603	50	3
gene-OO714_RS06535	0000324	CC	fungal-type_vacuole	0.201423243277	0.369866051706	53	1
gene-OO714_RS06535	0009274	CC	peptidoglycan-based_cell_wall	0.184447120268	0.367059490172	55	1
gene-OO714_RS06535	0070301	BP	cellular_response_to_hydrogen_peroxide	0.754128614631	0.430792520585	57	3
gene-OO714_RS06535	1990904	CC	ribonucleoprotein_complex	0.10364174546	0.351444872074	61	1
gene-OO714_RS06535	0008637	BP	apoptotic_mitochondrial_changes	0.743267586104	0.429881229617	63	3
gene-OO714_RS06535	0005886	CC	plasma_membrane	0.0452900222595	0.335600669101	63	1
gene-OO714_RS06535	0071277	BP	cellular_response_to_calcium_ion	0.69975607659	0.426161867897	71	3
gene-OO714_RS06535	2001243	BP	negative_regulation_of_intrinsic_apoptotic_signaling_pathway	0.693166356608	0.425588601708	72	3
gene-OO714_RS06535	0060348	BP	bone_development	0.692970295095	0.42557150388	73	3
gene-OO714_RS06535	0006308	BP	DNA_catabolic_process	0.611720454076	0.418264637111	90	1
gene-OO714_RS06535	0050821	BP	protein_stabilization	0.605012843991	0.417640293918	94	3
gene-OO714_RS06535	1904027	BP	negative_regulation_of_collagen_fibril_organization	0.360275677474	0.391853350591	163	1
gene-OO714_RS06535	0061083	BP	regulation_of_protein_refolding	0.358059075094	0.391584830682	164	1
gene-OO714_RS06535	0010039	BP	response_to_iron_ion	0.262394218656	0.379077871761	188	1
gene-OO714_RS06535	0045292	BP	mRNA_cis_splicing,_via_spliceosome	0.252521262788	0.377665168979	191	1
gene-OO714_RS06535	1901873	BP	regulation_of_post-translational_protein_modification	0.214671535973	0.371975021961	197	1
gene-OO714_RS06535	0051169	BP	nuclear_transport	0.1578694103	0.362392001977	213	1
gene-OO714_RS05485	0043190	CC	ATP-binding_cassette_(ABC)_transporter_complex	6.51785307267	0.675396853298	1	7
gene-OO714_RS05485	0006865	BP	amino_acid_transport	6.3011315018	0.669181834249	1	6
gene-OO714_RS05485	0005291	MF	high-affinity_L-histidine_transmembrane_transporter_activity	4.78968113688	0.622475139047	1	1
gene-OO714_RS05485	0055085	BP	transmembrane_transport	2.76868264619	0.546303491235	12	7
gene-OO714_RS05485	0098657	BP	import_into_cell	2.03258613733	0.511709890674	22	2
gene-OO714_RS05485	0072337	BP	modified_amino_acid_transport	1.05130970526	0.453578489274	24	1
gene-OO714_RS17040	0016887	MF	ATP_hydrolysis_activity	4.55661666515	0.614647304257	1	6
gene-OO714_RS17040	0030420	BP	establishment_of_competence_for_transformation	2.26741910245	0.523341459091	1	1
gene-OO714_RS17040	0005886	CC	plasma_membrane	0.368534716931	0.392846651544	1	1
gene-OO714_RS17040	0005524	MF	ATP_binding	2.97694743875	0.55522565124	7	6
gene-OO714_RS17040	0032508	BP	DNA_duplex_unwinding	1.43886216427	0.478871147334	7	1
gene-OO714_RS17040	0004176	MF	ATP-dependent_peptidase_activity	1.78085961009	0.498467733108	20	1
gene-OO714_RS17040	0003677	MF	DNA_binding	0.635849589042	0.420482737572	28	1
gene-OO714_RS04075	0008836	MF	diaminopimelate_decarboxylase_activity	11.5764819238	0.798731812194	1	14
gene-OO714_RS04075	0009089	BP	lysine_biosynthetic_process_via_diaminopimelate	8.25487991803	0.721878575082	1	14
gene-OO714_RS04075	0030170	MF	pyridoxal_phosphate_binding	6.52061441402	0.675475369348	3	14
gene-OO714_RS16930	0042597	CC	periplasmic_space	6.40607858383	0.672204572796	1	5
gene-OO714_RS16930	0015036	MF	disulfide_oxidoreductase_activity	5.59449797731	0.64813707522	1	3
gene-OO714_RS16930	0046688	BP	response_to_copper_ion	2.48430743266	0.533559679662	1	1
gene-OO714_RS16930	0061077	BP	chaperone-mediated_protein_folding	2.27224156636	0.523573844562	2	1
gene-OO714_RS16930	0016864	MF	intramolecular_oxidoreductase_activity,_transposing_S-S_bonds	2.60129682067	0.538886346575	3	1
gene-OO714_RS16930	0030313	CC	cell_envelope	1.22836151695	0.465627297238	3	1
gene-OO714_RS16930	0042803	MF	protein_homodimerization_activity	1.99180536845	0.509622698243	5	1
gene-OO714_RS16930	0140096	MF	catalytic_activity,_acting_on_a_protein	0.725707523291	0.428393656838	13	1
gene-OO714_RS00505	0004609	MF	phosphatidylserine_decarboxylase_activity	11.6834280804	0.801008554787	1	100
gene-OO714_RS00505	0006646	BP	phosphatidylethanolamine_biosynthetic_process	11.555055181	0.798274402278	1	100
gene-OO714_RS00505	0005886	CC	plasma_membrane	2.68407674854	0.542583369432	1	100
gene-OO714_RS03415	0016863	MF	intramolecular_oxidoreductase_activity,_transposing_C=C_bonds	9.94434010611	0.762583085766	1	4
gene-OO714_RS03415	0019629	BP	propionate_catabolic_process,_2-methylcitrate_cycle	8.14386816162	0.719063968277	1	2
gene-OO714_RS03415	1901848	BP	nicotinate_catabolic_process	3.18290582186	0.563746966318	19	1
gene-OO714_RS03415	0019396	BP	gallate_catabolic_process	2.29680754464	0.524753823725	26	1
gene-OO714_RS17810	0070206	BP	protein_trimerization	13.3108975261	0.834449171759	1	1
gene-OO714_RS17810	0016407	MF	acetyltransferase_activity	8.08822752834	0.717646030988	1	1
gene-OO714_RS17810	0046402	BP	O_antigen_metabolic_process	12.644776028	0.821023850688	2	1
gene-OO714_RS17810	0006065	BP	UDP-glucuronate_biosynthetic_process	11.2803104804	0.792371238715	4	1
gene-OO714_RS17810	0009103	BP	lipopolysaccharide_biosynthetic_process	8.87896040203	0.737360926494	6	1
gene-OO714_RS17810	0071555	BP	cell_wall_organization	6.65161808912	0.679181415076	13	1
gene-OO714_RS08925	0008915	MF	lipid-A-disaccharide_synthase_activity	12.0682769784	0.809116461138	1	100
gene-OO714_RS08925	0009245	BP	lipid_A_biosynthetic_process	8.86748775995	0.737081312203	1	100
gene-OO714_RS08925	0031234	CC	extrinsic_component_of_cytoplasmic_side_of_plasma_membrane	0.12196678476	0.355409275303	1	1
gene-OO714_RS08925	0005543	MF	phospholipid_binding	0.538916126931	0.411292636991	7	6
gene-OO714_RS08925	0042802	MF	identical_protein_binding	0.0896103049844	0.348165591499	9	1
gene-OO714_RS08925	0005737	CC	cytoplasm	0.0200091526468	0.325239078987	9	1
gene-OO714_RS09185	0019843	MF	rRNA_binding	6.15293736996	0.6648702718	1	100
gene-OO714_RS09185	1990904	CC	ribonucleoprotein_complex	4.46210680641	0.611416116766	1	100
gene-OO714_RS09185	0006412	BP	translation	3.36778993002	0.571164349973	1	100
