qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
Tcas000011	MF	0003723	RNA binding	3.38272155896	0.571754402578	11	89
Tcas000011	MF	0004497	monooxygenase activity	0.0733800694648	0.344032873525	16	1
Tcas000011	CC	0016020	membrane	0.00992658841457	0.319166605013	17	1
Tcas000011	BP	0006915	apoptotic process	1.5117509832	0.483228167102	18	17
Tcas000019	CC	0030686	90S preribosome	10.426005349	0.773541004834	1	17
Tcas000019	BP	0006986	response to unfolded protein	0.595133750731	0.416714412787	1	1
Tcas000019	MF	0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0.444440490263	0.401499569389	1	1
Tcas000019	CC	0032040	small-subunit processome	9.96589218689	0.763078995605	2	17
Tcas000019	MF	0004497	monooxygenase activity	0.440186149077	0.401035155517	2	1
Tcas000019	MF	0005506	iron ion binding	0.425221422906	0.399383474102	3	1
Tcas000019	CC	0005730	nucleolus	7.08868025486	0.691288837605	4	17
Tcas000019	MF	0020037	heme binding	0.36509858945	0.392434760302	4	1
Tcas000019	CC	0005789	endoplasmic reticulum membrane	0.371312337933	0.393178205639	19	1
Tcas000029	CC	0016020	membrane	0.912674056579	0.443415333117	1	1
Tcas000010	MF	0000822	inositol hexakisphosphate binding	14.3798151972	0.847114056659	1	92
Tcas000010	BP	0016036	cellular response to phosphate starvation	10.290796335	0.770491016188	1	92
Tcas000010	CC	0005794	Golgi apparatus	6.24800694689	0.667642117123	1	89
Tcas000010	CC	0005886	plasma membrane	2.54971177695	0.536552701908	3	92
Tcas000010	BP	0006817	phosphate ion transport	8.53331549975	0.728855905315	5	92
Tcas000010	MF	0005315	phosphate transmembrane transporter activity	0.332305129644	0.388401865812	7	3
Tcas000033	CC	0005686	U2 snRNP	10.2775733702	0.770191665303	1	87
Tcas000033	BP	0000398	mRNA splicing, via spliceosome	7.5377225918	0.703345339759	1	90
Tcas000033	MF	0003723	RNA binding	3.38270355039	0.57175369172	1	90
Tcas000033	CC	0005684	U2-type spliceosomal complex	9.88340464478	0.761178055838	2	87
Tcas000033	MF	0003746	translation elongation factor activity	0.32874242941	0.387951965676	5	4
Tcas000033	MF	0004386	helicase activity	0.0916481992631	0.348657054621	9	1
Tcas000033	BP	0006414	translational elongation	0.303090561012	0.384637916044	21	4
Tcas000020	MF	0003724	RNA helicase activity	8.36837646887	0.724736683908	1	86
Tcas000020	BP	0010468	regulation of gene expression	3.19054701762	0.564057726691	1	87
Tcas000020	CC	1990904	ribonucleoprotein complex	0.0887008556704	0.347944464248	1	1
Tcas000020	CC	0005634	nucleus	0.0688275586393	0.342793230001	2	1
Tcas000020	MF	0005524	ATP binding	3.01026573664	0.556623704594	7	87
Tcas000020	CC	0005737	cytoplasm	0.0304795535844	0.330049588703	8	1
Tcas000020	BP	0000380	alternative mRNA splicing, via spliceosome	0.272458146185	0.380490804154	9	1
Tcas000020	MF	0016787	hydrolase activity	2.22281808601	0.521180397773	19	87
Tcas000020	MF	0003676	nucleic acid binding	2.13589074107	0.516905254246	20	87
Tcas000017	MF	0004222	metalloendopeptidase activity	7.3373776224	0.698011868507	1	91
Tcas000017	BP	0006508	proteolysis	4.32378422177	0.606624685475	1	91
Tcas000017	CC	0016020	membrane	0.0392048375594	0.333449907103	1	4
Tcas000017	MF	0008270	zinc ion binding	5.07371613814	0.631761707158	4	91
Tcas000017	BP	0009987	cellular process	0.410470040209	0.397726642832	6	91
Tcas000005	BP	0060271	cilium assembly	9.19408656578	0.744971841968	1	9
Tcas000005	MF	0008017	microtubule binding	8.56863846226	0.729732878076	1	9
Tcas000005	CC	0005929	cilium	8.12637788023	0.718618772109	1	9
Tcas000005	CC	0005874	microtubule	7.77357681783	0.70953407835	2	9
Tcas000004	MF	0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	10.7258111269	0.780234126032	1	1
Tcas000004	BP	0045944	positive regulation of transcription by RNA polymerase II	7.9039191115	0.712913966915	1	1
Tcas000004	CC	0005634	nucleus	3.47228151499	0.575266535388	1	1
Tcas000004	MF	0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	7.5036091042	0.70244224177	3	1
Tcas000004	MF	0008270	zinc ion binding	5.07133825895	0.631685056795	12	1
Tcas000016	MF	0030158	protein xylosyltransferase activity	14.4046256798	0.847264180148	1	94
Tcas000016	BP	0050650	chondroitin sulfate proteoglycan biosynthetic process	12.8163773563	0.824515540801	1	94
Tcas000016	CC	0000139	Golgi membrane	7.85323045686	0.71160290224	1	94
Tcas000016	CC	0005789	endoplasmic reticulum membrane	6.69153696199	0.680303436394	2	94
Tcas000016	BP	0015012	heparan sulfate proteoglycan biosynthetic process	12.1693578105	0.811224488543	3	94
Tcas000016	BP	0030204	chondroitin sulfate metabolic process	8.55662028577	0.729434702785	7	60
Tcas000016	MF	0046872	metal ion binding	2.47638423583	0.533194437349	8	94
Tcas000016	BP	0006024	glycosaminoglycan biosynthetic process	4.3318540941	0.606906308902	14	60
Tcas000016	BP	0030201	heparan sulfate proteoglycan metabolic process	0.143875664089	0.359775733141	26	1
Tcas000001	BP	0009953	dorsal/ventral pattern formation	13.1695627536	0.831629234639	1	1
Tcas000001	CC	0043596	nuclear replication fork	10.6944122848	0.77953757431	1	1
Tcas000001	BP	0031297	replication fork processing	11.532483007	0.797792081194	2	1
Tcas000001	BP	0000724	double-strand break repair via homologous recombination	9.12420881473	0.74329555334	6	1
Tcas000027	CC	0031085	BLOC-3 complex	12.7612209851	0.823395799556	1	5
Tcas000027	MF	0031267	small GTPase binding	7.63907984947	0.706016615691	1	5
Tcas000027	BP	0016192	vesicle-mediated transport	6.05458013548	0.661979939514	1	6
Tcas000027	BP	0006605	protein targeting	5.7971426168	0.654301758685	2	5
Tcas000027	CC	0005765	lysosomal membrane	7.51734264236	0.702806060771	3	5
Tcas000027	MF	0005085	guanyl-nucleotide exchange factor activity	6.77214213365	0.682558893622	3	5
Tcas000027	CC	0031410	cytoplasmic vesicle	5.03847261263	0.630623794208	9	5
Tcas000030	MF	0003755	peptidyl-prolyl cis-trans isomerase activity	8.31766337854	0.723462020384	1	91
Tcas000030	BP	0006357	regulation of transcription by RNA polymerase II	0.119667948604	0.354929116527	1	2
Tcas000030	MF	0140994	RNA polymerase II CTD heptapeptide repeat modifying activity	0.251843602179	0.377567199332	9	2
Tcas000024	CC	0005654	nucleoplasm	6.88832391178	0.68578635316	1	84
Tcas000024	MF	0090729	toxin activity	0.173452767884	0.365172403982	1	2
Tcas000024	BP	0006887	exocytosis	0.151498487351	0.361215915181	1	2
Tcas000024	BP	0035821	modulation of process of another organism	0.120105414705	0.355020843221	2	2
Tcas000024	CC	0044221	host cell synapse	0.237486974967	0.375459786551	12	2
Tcas000024	CC	0044218	other organism cell membrane	0.227589270349	0.373969572616	14	2
Tcas000024	CC	0033644	host cell membrane	0.11475957892	0.353888218028	16	2
Tcas000024	CC	0005576	extracellular region	0.0886275590236	0.347926593342	19	2
Tcas000024	CC	0016020	membrane	0.00851264917716	0.318096735539	21	1
Tcas000039	MF	0004190	aspartic-type endopeptidase activity	7.85716207151	0.711704744739	1	5
Tcas000039	BP	0071897	DNA biosynthetic process	5.62560427698	0.649090534126	1	4
Tcas000039	BP	0006508	proteolysis	4.32280189792	0.606590386276	2	5
Tcas000039	MF	0003964	RNA-directed DNA polymerase activity	2.75851469837	0.545859440467	6	1
Tcas000039	MF	0004519	endonuclease activity	2.03011982965	0.511584261299	9	1
Tcas000040	BP	0010634	positive regulation of epithelial cell migration	14.6692701429	0.848857518427	1	91
Tcas000040	CC	0032587	ruffle membrane	11.9843925748	0.807360350566	1	91
Tcas000040	MF	0004435	phosphatidylinositol phospholipase C activity	11.9377745921	0.80638175095	1	92
Tcas000040	BP	0051209	release of sequestered calcium ion into cytosol	11.7373581169	0.802152701945	3	91
Tcas000040	BP	0048015	phosphatidylinositol-mediated signaling	11.596190082	0.799152160826	5	91
Tcas000040	MF	0005509	calcium ion binding	4.8150778322	0.62331650701	8	64
Tcas000040	BP	0009395	phospholipid catabolic process	9.347366084	0.748626675301	12	80
Tcas000040	BP	0046488	phosphatidylinositol metabolic process	8.24735630573	0.721688420568	17	91
Tcas000040	BP	0048468	cell development	7.36287283907	0.698694597147	20	88
Tcas000040	BP	0009653	anatomical structure morphogenesis	6.7150136259	0.680961745166	24	88
Tcas000042	MF	0008270	zinc ion binding	5.06455745684	0.63146638053	1	1
Tcas000043	MF	0004190	aspartic-type endopeptidase activity	7.85716415322	0.711704798656	1	5
Tcas000043	BP	0071897	DNA biosynthetic process	5.62307095615	0.649012982461	1	4
Tcas000043	BP	0006508	proteolysis	4.32280304323	0.606590426268	2	5
Tcas000043	MF	0003964	RNA-directed DNA polymerase activity	2.75062188188	0.545514183886	6	1
Tcas000043	MF	0004519	endonuclease activity	2.0243111373	0.511288074874	9	1
Tcas000053	MF	0005549	odorant binding	10.8533010246	0.783051941182	1	9
Tcas000053	BP	0050911	detection of chemical stimulus involved in sensory perception of smell	9.28270812	0.747088637515	1	9
Tcas000053	CC	0005886	plasma membrane	2.54905177171	0.536522691868	1	9
Tcas000053	MF	0004984	olfactory receptor activity	9.63150732199	0.755323406105	2	9
Tcas000053	BP	0007165	signal transduction	3.94352299944	0.593042596815	13	9
Tcas000048	MF	0008270	zinc ion binding	5.07168773309	0.631696323136	1	17
Tcas000048	MF	0003676	nucleic acid binding	2.16449831838	0.518321638947	5	17
Tcas000054	MF	0005049	nuclear export signal receptor activity	12.5122287109	0.818310570764	1	26
Tcas000054	BP	0006611	protein export from nucleus	12.083985467	0.809444637376	1	26
Tcas000054	CC	0005643	nuclear pore	9.73643862831	0.757771434829	1	26
Tcas000054	MF	0031267	small GTPase binding	4.46412004943	0.611485302071	4	12
Tcas000054	MF	0016787	hydrolase activity	0.105180334211	0.35179056374	9	1
Tcas000054	CC	0005737	cytoplasm	1.5383798089	0.484793650766	12	26
Tcas000047	CC	0005634	nucleus	3.47374573272	0.575323576639	1	18
Tcas000047	MF	0003723	RNA binding	3.38254969542	0.57174761847	1	18
Tcas000047	BP	2000805	negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled	0.588910782168	0.416127238936	1	1
Tcas000047	MF	1990269	RNA polymerase II C-terminal domain phosphoserine binding	0.473838894255	0.40464980921	5	1
Tcas000059	BP	0070651	nonfunctional rRNA decay	14.5540305876	0.848165480209	1	91
Tcas000059	MF	0046872	metal ion binding	2.47637143026	0.533193846567	1	91
Tcas000059	CC	1990533	Dom34-Hbs1 complex	1.69207622347	0.493575913505	1	8
Tcas000059	BP	0070966	nuclear-transcribed mRNA catabolic process, no-go decay	13.815338935	0.843662837777	2	91
Tcas000059	CC	0005737	cytoplasm	1.53839577333	0.484794585218	2	91
Tcas000059	BP	0070481	nuclear-transcribed mRNA catabolic process, non-stop decay	13.7961847131	0.843544503203	3	91
Tcas000059	BP	0071025	RNA surveillance	11.7858411867	0.803179047877	4	91
Tcas000059	CC	0005634	nucleus	0.301468117787	0.384423675191	4	8
Tcas000059	BP	0032790	ribosome disassembly	9.89877129832	0.761532782573	6	91
Tcas000059	MF	0004521	RNA endonuclease activity	0.0797762353221	0.345711285768	6	1
Tcas000059	MF	0005515	protein binding	0.0493027341116	0.336940525979	11	1
Tcas000059	BP	0051078	meiotic nuclear membrane disassembly	1.96010218345	0.507985298872	39	8
Tcas000059	BP	0048132	female germ-line stem cell asymmetric division	1.66986874198	0.492332378554	40	8
Tcas000059	BP	0036098	male germ-line stem cell population maintenance	1.65234304649	0.491345156763	41	8
Tcas000059	BP	0048137	spermatocyte division	1.50469461359	0.482811023595	46	8
Tcas000059	BP	0007291	sperm individualization	1.49406159591	0.482180591584	47	8
Tcas000059	BP	0001745	compound eye morphogenesis	1.27760292135	0.468821154928	53	8
Tcas000059	BP	0000212	meiotic spindle organization	1.25332050474	0.467254010514	55	8
Tcas000059	BP	0016441	post-transcriptional gene silencing	0.879126086087	0.440842023042	78	8
Tcas000059	BP	0006417	regulation of translation	0.0824907034317	0.34640317494	109	1
Tcas000060	CC	0005730	nucleolus	7.07320265095	0.69086656305	1	1
Tcas000060	BP	0006364	rRNA processing	6.34882447599	0.670558607088	1	1
Tcas000062	MF	0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	4.93143496988	0.627143236442	1	25
Tcas000062	BP	0006357	regulation of transcription by RNA polymerase II	4.17140610447	0.601256776616	1	25
Tcas000062	CC	0005634	nucleus	3.40309902288	0.572557560698	1	34
Tcas000062	MF	0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	4.69347484707	0.619267509352	2	23
Tcas000062	CC	0070013	intracellular organelle lumen	1.41073031064	0.477160092683	8	8
Tcas000062	MF	0000987	cis-regulatory region sequence-specific DNA binding	3.20159218752	0.564506266578	11	15
Tcas000062	MF	0001217	DNA-binding transcription repressor activity	2.94739604561	0.553979098052	13	8
Tcas000062	CC	0005667	transcription regulator complex	0.170097032369	0.36458457679	13	1
Tcas000062	CC	0000785	chromatin	0.160948834335	0.36295195887	14	1
Tcas000062	BP	0045892	negative regulation of DNA-templated transcription	1.70161402628	0.494107488185	16	8
Tcas000062	MF	0001216	DNA-binding transcription activator activity	0.950449609817	0.446256939575	17	3
Tcas000062	MF	0046872	metal ion binding	0.862322290464	0.439534622196	18	13
Tcas000062	CC	0016020	membrane	0.0197186197748	0.325089420037	21	1
Tcas000062	BP	0045893	positive regulation of DNA-templated transcription	0.653129228951	0.422045428795	27	3
Tcas000062	BP	0009887	animal organ morphogenesis	0.575324423173	0.414834408006	34	2
Tcas000068	MF	0005549	odorant binding	10.8226036229	0.782374978502	1	1
Tcas000068	BP	0007608	sensory perception of smell	9.21102271925	0.745377161231	1	1
Tcas000067	MF	0016790	thiolester hydrolase activity	8.77548300244	0.734832373996	1	91
Tcas000067	CC	0005764	lysosome	8.41038867019	0.725789730045	1	91
Tcas000067	BP	0098734	macromolecule depalmitoylation	7.21090058361	0.694607303651	1	52
Tcas000067	MF	0098599	palmitoyl hydrolase activity	7.40837181077	0.699910069737	2	52
Tcas000067	BP	0009987	cellular process	0.232961804272	0.374782401771	6	52
Tcas000067	MF	0016740	transferase activity	0.103768866485	0.351473530579	7	4
Tcas000067	MF	0140096	catalytic activity, acting on a protein	0.0512581656684	0.337573666621	8	1
Tcas000067	CC	0005576	extracellular region	0.079969221395	0.345760860846	10	1
Tcas000067	CC	0016020	membrane	0.00981505963734	0.319085106706	12	1
Tcas000061	BP	0031087	deadenylation-independent decapping of nuclear-transcribed mRNA	13.2544625722	0.833324975374	1	11
Tcas000061	CC	0000932	P-body	9.99353034536	0.763714161015	1	11
Tcas000061	BP	0009987	cellular process	0.410450117843	0.397724385257	34	11
Tcas000063	MF	0004726	non-membrane spanning protein tyrosine phosphatase activity	13.4671724299	0.837549824085	1	88
Tcas000063	BP	0070374	positive regulation of ERK1 and ERK2 cascade	12.1616152054	0.811063327897	1	88
Tcas000063	CC	0005737	cytoplasm	1.52264856563	0.483870479196	1	88
Tcas000063	MF	0030971	receptor tyrosine kinase binding	12.4958344476	0.817973978975	2	88
Tcas000063	MF	0050839	cell adhesion molecule binding	9.75894727298	0.758294836516	4	88
Tcas000063	MF	0030946	protein tyrosine phosphatase activity, metal-dependent	9.58264861581	0.754178991804	5	37
Tcas000063	MF	0140789	histone phosphatase activity	8.37677694617	0.724947454992	9	37
Tcas000063	BP	0048666	neuron development	8.27995593531	0.722511730547	9	84
Tcas000063	MF	0003924	GTPase activity	0.0896133436027	0.348166328436	23	1
Tcas000063	MF	0005525	GTP binding	0.0809320043117	0.346007295774	24	1
Tcas000063	BP	0006338	chromatin remodeling	3.02088008365	0.55706746153	30	37
Tcas000063	BP	0009653	anatomical structure morphogenesis	2.73687610991	0.544911715993	32	31
Tcas000063	BP	0038127	ERBB signaling pathway	0.35265499103	0.390926673843	39	2
Tcas000063	MF	0016740	transferase activity	0.0240501703969	0.327217786403	40	1
Tcas000065	CC	0016020	membrane	0.921409237255	0.444077572821	1	13
Tcas000065	BP	0006865	amino acid transport	0.829460054282	0.436940460914	1	2
Tcas000064	BP	0030198	extracellular matrix organization	9.94150460928	0.762517801464	1	14
Tcas000064	MF	0050839	cell adhesion molecule binding	9.85939874473	0.760623346749	1	14
Tcas000064	CC	0031012	extracellular matrix	8.49901192337	0.728002502167	1	14
Tcas000064	CC	0005615	extracellular space	6.84485584616	0.684582046955	2	14
Tcas000064	BP	0007155	cell adhesion	7.12155386823	0.692184199763	3	14
Tcas000066	BP	0006974	DNA damage response	5.14559497499	0.634070285061	1	7
Tcas000066	CC	0005634	nucleus	3.47330498952	0.575306407955	1	7
Tcas000069	BP	0015074	DNA integration	3.46580337956	0.575014023468	1	2
Tcas000069	MF	0003677	DNA binding	2.3988819129	0.529590469618	1	3
Tcas000069	CC	0016020	membrane	0.231037032649	0.37449228468	1	1
Tcas000069	BP	0006310	DNA recombination	2.83048940325	0.548985327657	2	2
Tcas000069	BP	0009987	cellular process	0.204615569732	0.3703804251	9	2
Tcas000072	CC	0016020	membrane	0.920746233536	0.444027418951	1	5
Tcas000073	MF	0043565	sequence-specific DNA binding	5.34322223862	0.640335767143	1	13
Tcas000074	MF	0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	6.79718620415	0.683256929179	1	12
Tcas000074	BP	0006357	regulation of transcription by RNA polymerase II	5.74960923107	0.652865537357	1	12
Tcas000074	CC	0005634	nucleus	3.4728937244	0.575290386576	1	12
Tcas000074	MF	1990837	sequence-specific double-stranded DNA binding	5.19015750116	0.635493437364	2	11
Tcas000074	MF	0001067	transcription regulatory region nucleic acid binding	4.21003753852	0.602626819582	11	8
Tcas000074	BP	0007417	central nervous system development	1.55228051979	0.485605478883	15	1
Tcas000074	BP	0030182	neuron differentiation	1.30172378539	0.470363196384	16	1
Tcas000075	MF	0004965	G protein-coupled GABA receptor activity	13.9601650215	0.844554929669	1	1
Tcas000075	BP	0007186	G protein-coupled receptor signaling pathway	7.00694437383	0.68905359828	1	1
Tcas000075	CC	0016020	membrane	0.916027315542	0.443669926728	1	1
Tcas000079	CC	1990904	ribonucleoprotein complex	4.41166719849	0.609677631987	1	78
Tcas000079	MF	0003735	structural constituent of ribosome	3.77264464207	0.586726271639	1	78
Tcas000079	BP	0006412	translation	3.25432199577	0.566637016876	1	78
Tcas000079	CC	0005840	ribosome	3.3550407136	0.570659503621	2	79
Tcas000079	BP	0042273	ribosomal large subunit biogenesis	0.232303937552	0.374683378081	11	2
Tcas000079	CC	0005829	cytosol	0.102158424108	0.351109160107	13	2
Tcas000079	BP	0030218	erythrocyte differentiation	0.121797235769	0.355374016948	14	1
Tcas000079	CC	0016020	membrane	0.0104619922851	0.319551619502	16	1
Tcas000079	BP	0043009	chordate embryonic development	0.103410739511	0.351392748447	21	1
Tcas000078	MF	0051787	misfolded protein binding	12.787201519	0.823923536748	1	94
Tcas000078	BP	0034975	protein folding in endoplasmic reticulum	12.1779279744	0.811402814874	1	94
Tcas000078	CC	0005783	endoplasmic reticulum	6.00715844381	0.660578015277	1	94
Tcas000078	MF	0051087	protein-folding chaperone binding	9.38522279787	0.749524715654	2	94
Tcas000078	CC	0016020	membrane	0.0183356385077	0.324361408904	10	2
Tcas000083	MF	0048040	UDP-glucuronate decarboxylase activity	12.3285616469	0.814526988638	1	99
Tcas000083	CC	0032580	Golgi cisterna membrane	10.896495559	0.784002880996	1	99
Tcas000083	BP	0042732	D-xylose metabolic process	10.4865991234	0.774901434262	1	99
Tcas000083	BP	0033320	UDP-D-xylose biosynthetic process	9.98909465737	0.763612281624	2	79
Tcas000083	MF	0070403	NAD+ binding	9.24740669363	0.746246651236	2	99
Tcas000077	CC	0012505	endomembrane system	4.68187260051	0.618878464111	1	70
Tcas000077	MF	0046872	metal ion binding	2.37537086821	0.528485698894	1	70
Tcas000077	BP	0006511	ubiquitin-dependent protein catabolic process	1.482296101	0.48148039481	1	12
Tcas000077	CC	0043231	intracellular membrane-bounded organelle	1.69906312243	0.493965463761	2	54
Tcas000077	MF	0061630	ubiquitin protein ligase activity	1.65998097283	0.491776041356	3	12
Tcas000077	CC	0005737	cytoplasm	1.47565121253	0.481083711096	4	70
Tcas000077	CC	0016020	membrane	0.921522233854	0.444086118811	8	74
Tcas000077	BP	0009987	cellular process	0.0809157080443	0.346003136798	13	12
Tcas000077	MF	0016874	ligase activity	0.268065066724	0.379877300592	15	4
Tcas000082	MF	0015280	ligand-gated sodium channel activity	9.03779567658	0.741213697106	1	3
Tcas000082	BP	0035725	sodium ion transmembrane transport	5.98165949163	0.659821903476	1	3
Tcas000082	CC	0005886	plasma membrane	1.81641178431	0.500392315396	1	3
Tcas000085	BP	0045892	negative regulation of DNA-templated transcription	6.67935784917	0.679961467125	1	1
Tcas000085	MF	0003723	RNA binding	3.37324829963	0.571380199548	1	1
Tcas000085	MF	0046872	metal ion binding	2.46942644246	0.53287321592	2	1
Tcas000087	MF	0044548	S100 protein binding	15.1935288247	0.85197202609	1	1
Tcas000087	BP	0007507	heart development	10.4295800723	0.773621372777	1	1
Tcas000087	CC	0005634	nucleus	3.46671025859	0.575049386998	1	1
Tcas000087	MF	0031625	ubiquitin protein ligase binding	10.4675393651	0.774473936204	2	1
Tcas000087	MF	0015631	tubulin binding	8.30615741588	0.723172279901	4	1
Tcas000087	CC	0005737	cytoplasm	1.53519583111	0.484607184723	6	1
Tcas000089	MF	0016301	kinase activity	4.32946062113	0.606822808563	1	1
Tcas000090	BP	0035282	segmentation	7.84243518852	0.711323136057	1	1
Tcas000090	MF	0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	7.27394179678	0.696307974713	1	2
Tcas000090	CC	0005634	nucleus	3.46936559148	0.575152904477	1	2
Tcas000090	MF	0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	6.79028090317	0.683064591225	2	2
Tcas000090	BP	0006357	regulation of transcription by RNA polymerase II	5.74376816963	0.652688640721	4	2
Tcas000090	MF	0000987	cis-regulatory region sequence-specific DNA binding	2.89533188201	0.551767597798	12	1
Tcas000090	MF	0046872	metal ion binding	1.51349123077	0.483330893627	14	1
Tcas000091	MF	0051059	NF-kappaB binding	14.5312616495	0.848028424103	1	1
Tcas000091	CC	0005634	nucleus	3.46438598108	0.574958743086	1	1
Tcas000091	CC	0005737	cytoplasm	1.53416654949	0.484546864664	6	1
Tcas000092	BP	0006281	DNA repair	5.22011659317	0.636446781354	1	1
